Subject	Channel	0.5Hz	1Hz	1.5Hz	2Hz	2.5Hz	3Hz	3.5Hz	4Hz	4.5Hz	5Hz	5.5Hz	6Hz	6.5Hz	7Hz	7.5Hz	8Hz	8.5Hz	9Hz	9.5Hz	10Hz	10.5Hz	11Hz	11.5Hz	12Hz	12.5Hz	13Hz	13.5Hz	14Hz	14.5Hz	15Hz	15.5Hz	16Hz	16.5Hz	17Hz	17.5Hz	18Hz	18.5Hz	19Hz	19.5Hz	20Hz	20.5Hz	21Hz	21.5Hz	22Hz	22.5Hz	23Hz	23.5Hz	24Hz	24.5Hz	25Hz	25.5Hz	26Hz	26.5Hz	27Hz	27.5Hz	28Hz	28.5Hz	29Hz	29.5Hz	30Hz	30.5Hz	31Hz	31.5Hz	32Hz	32.5Hz	33Hz	33.5Hz	34Hz	34.5Hz	35Hz	35.5Hz	36Hz	36.5Hz	37Hz	37.5Hz	38Hz	38.5Hz	39Hz	39.5Hz	40Hz	40.5Hz	41Hz	41.5Hz	42Hz	42.5Hz	43Hz	43.5Hz	44Hz	44.5Hz	45Hz	45.5Hz	46Hz	46.5Hz	47Hz	47.5Hz	48Hz	48.5Hz	49Hz	49.5Hz	50Hz	50.5Hz	51Hz	51.5Hz	52Hz	52.5Hz	53Hz	53.5Hz	54Hz	54.5Hz	55Hz	55.5Hz	56Hz	56.5Hz	57Hz	57.5Hz	58Hz	58.5Hz	59Hz	59.5Hz	60Hz	60.5Hz	61Hz	61.5Hz	62Hz	62.5Hz	63Hz	63.5Hz	64Hz
A199	AF3	15.932631316478	14.729078177585	13.1374196827186	12.2103836067598	11.4531127732221	11.0361618771278	10.7495328939698	10.6664236480872	10.4806204801379	10.2098425575898	10.5177097397929	10.44861163877	10.3578007169497	10.597754929604	10.7425612114532	10.559892814201	10.7143654726681	11.3168528696794	11.6033629241253	11.6651247120538	11.4972056835391	11.1963651380609	10.8414380386768	10.1970246960369	9.73002100963708	9.55062235853413	9.53657221320633	9.23904091345209	9.13140551033412	9.03286172907852	8.74254068268502	8.49901301312391	8.54272967335008	8.71709228822913	8.50600367208409	8.27792286614354	8.57089759657807	8.45088815463188	8.356368456802	8.16004563713225	8.16818136827226	8.06711670908942	7.99486748603434	7.99787509184532	7.87103698598385	7.7645470364403	7.91350413740168	7.83095790463531	7.65643121117242	7.52114360273804	7.63970624370605	7.62888334198937	7.75939550547148	7.48167968049686	7.43156269908077	7.70513716385682	7.77265311665634	7.70811308372609	7.45612038392867	7.55552778477158	7.58813594025756	7.65790148938987	7.78776896201857	7.85899745101725	7.645799149424	7.63667245147741	7.72513117582851	7.67398253856533	7.51197577916004	7.23396670923106	7.53272609463494	7.56471379374925	7.50093746559786	7.24117825314372	7.17447075655679	7.25936394608247	7.19111998253654	7.11811909024106	6.98998620404414	6.78199385075882	6.91437840566415	6.66564733136978	6.51124425643646	6.38259159887957	6.41809626222637	6.38008859512308	6.05519183419342	5.86134278844129	5.54543196159957	5.44768080912743	5.20088467597241	5.10455007969697	4.99693481853554	4.54851389995865	3.90982219110941	3.47641870838681	3.37124037232091	2.81814147650491	2.47062526868157	2.17543837434099	1.55657408459097	1.70055149888399	2.09839732559778	2.01152079678828	2.41273754290615	2.8216095669141	2.72393235570142	2.54765995674913	2.52975046136496	2.68284751984165	2.53539601695541	3.36421226955964	3.39541091844503	2.28456353876199	2.19149338828724	1.89351755617279	1.79142736761649	2.06158489740267	3.28972427599534	2.71185413217423	1.53810889149364	1.55742824226956	1.54982767783144	1.41251722352202	1.76540878172433	2.18397930069869	1.68291658541751	1.76316364438195
A199	F7	15.8861586485495	14.8342322818722	13.1747014790627	12.0034308007467	11.2443279600615	11.0529390703686	10.7880742366727	10.506845915637	10.2846208607301	10.1750952169799	9.871539931099	9.66721186766703	9.6631321355116	9.7302996600611	9.99141673920106	9.95488422568258	10.0879424520816	10.7340329701834	10.9674847819469	11.1631194176505	11.0931724055986	10.8258946777423	10.4750761021314	9.75911125808569	9.40408634028654	9.24967578726592	9.22961272609265	9.0609185688555	8.96576837312031	8.79618958115275	8.60924853685496	8.52065879844604	8.65187456219405	8.74039373858554	8.58033167757604	8.41753327808209	8.43441037515082	8.40238397461425	8.25235080117674	8.22893903597085	8.02641553220711	8.18846805871031	7.89402901722571	8.06470211491946	7.97489906326839	7.94859654992891	8.14201040391706	8.05321313266446	7.75079361309161	7.53330237430343	7.77744720832806	8.01672462935823	8.14267368363899	8.01653315460944	7.90500732012091	7.98011700814213	7.93315396643096	8.04348830834551	7.92090518795641	8.06967698853197	8.01874733895158	7.75288183289635	7.94761877686876	7.88075610112502	7.91169673115116	7.83079721834679	7.95368373328109	7.82951053027799	7.73092747370228	7.41667522567511	7.78782604561726	7.64084152572194	7.62792486365487	7.55488679344437	7.56049500139369	7.62587473965935	7.46203572046208	7.38280109542395	7.39293465679525	7.32602534941807	7.23115936782912	6.80310456356585	6.97018449705791	7.04921432889862	6.84494381929008	6.75697983189888	6.31320834240153	5.85377179126821	5.59923747169173	5.50261232008116	5.51721852116281	5.13424634402144	4.91068664816365	4.57535919882392	4.14408961049432	3.73628355239145	3.18289171641271	2.92660527042178	3.15509738547929	2.80552900874594	1.93999371163263	1.78418463033079	2.2954340175618	2.25232983800249	2.73317209346135	3.21976881051252	2.82240822339784	2.93045084887979	2.76323779982264	2.82224785141438	2.83350044932585	4.17544761037776	4.35358601696645	2.31514830795819	2.41873340320735	2.27753951193432	1.96450638464883	2.86151995469327	4.52447710218503	3.70098073496044	1.95015301207458	1.75753193834706	1.77169523240922	1.93136422874352	2.42426061595745	2.77603358948863	2.10781306092701	1.91583630494882
A199	F3	15.1701240554202	13.853284966071	12.1953083927677	11.4641384408539	10.8048263787295	10.5652368904922	10.4267724086675	10.3091812702647	10.1270933829762	10.1314717424755	10.4886784800493	10.556627197933	10.6038178519273	10.5573873426855	10.8821370467318	10.8290665254709	10.9500822847862	11.401407616614	11.7434039633501	11.8377640400851	11.6222426695059	11.3104569491936	10.9454329080107	10.3994988604181	9.92945666013472	9.60985830564654	9.58400633620223	9.29429173430744	9.28464150282163	9.10911129663593	8.88426621547519	8.56480219639717	8.47891890734306	8.7031335085325	8.61078287041373	8.38607668492255	8.52211636140639	8.32810632239183	8.24195336591415	8.0985141298604	7.96166411287938	7.98863925896221	7.92431642742799	7.78426437541636	7.71669884308777	7.57064186001924	7.66367882106994	7.66852110456052	7.62122503769324	7.5359889632975	7.55978346629165	7.39895711505156	7.38808270690057	7.14947393663546	7.0719408734372	7.12749531540421	7.31290327507934	7.2648176050416	7.16537120485172	7.06468134641295	7.13368067533321	7.16002257747125	7.3129111354636	7.32245338057808	7.11970142019063	7.12556834610221	7.34590079175449	7.3319499428423	7.09732219523046	7.08779313574421	7.19390717899344	7.12068305963804	6.95128864438728	6.76142074594539	6.78016381289725	6.83321484330964	6.69184680406203	6.70665382367121	6.71241144213155	6.54249128187893	6.26414276837843	6.12033004221461	6.04749481847908	6.0584642943012	6.19177200328475	6.0831403873047	5.5871771931839	5.3340214054653	5.13073647818089	4.97496665642846	4.8829485314835	4.65318529372196	4.6019115006882	4.20917617545211	3.76984834886208	3.3971470623614	3.12804169515502	2.53850376156903	2.72903335592019	2.10442935337167	1.65686431687222	1.70993637571626	1.8459094821269	1.88642340093961	2.70686729798713	3.07329320490494	2.64334088152094	2.65517930447304	2.61457990446645	2.33548596391311	2.50896628165645	3.91857164303846	4.02738680441114	2.26548927948519	1.92496601868865	1.82178939863723	1.70194453911036	2.54590871950843	4.35385948615137	3.50915277855751	1.68184057463669	1.54546964848755	1.54411014491524	1.67779286013727	2.22974291040414	2.63899355545063	1.84816465996476	1.80193446500599
A199	FC5	15.1618239216931	13.8744271321094	12.0798688066466	11.1912940355653	10.5309479462306	10.3444767376894	10.1568221525359	9.86218388779354	9.78311536145192	9.69808335507601	9.73071889513032	9.58014107812889	9.63602195159353	9.56506605974993	10.0876692214318	9.93662149226753	10.0606312646502	10.672106454051	11.0279511910699	11.2036203211313	10.9941315219444	10.6063867333848	10.2782575207445	9.64362935858318	9.42296433424678	9.10419457914931	9.03304976817669	8.72947294605674	8.53720388065013	8.40257285809333	8.1017025759071	8.03724033894358	8.10522943305398	8.36599565106421	8.23655232654694	7.86580767469454	7.85904526956324	7.94490861067715	7.88169525549124	7.85026760634644	7.82658339473627	7.76339796251207	7.57723102603004	7.54647040466497	7.48185938317773	7.39234832817546	7.66970373755668	7.58496640932117	7.38866598259864	7.38052087263554	7.51866238293896	7.38575883566497	7.21442791159537	7.12967924131154	7.34473219276034	7.38313304481959	7.43385030661518	7.49195748436618	7.40701263131531	7.3357641133789	7.29249857925894	7.21781026237816	7.23516962961651	7.32150808908767	7.18904461455844	7.34209820940878	7.35138827758994	7.04967977702342	7.10582563438037	6.97248505772481	7.2005883684021	7.1943580404521	7.09941598034105	6.69779037463594	6.9345680853513	6.78726990257733	6.63340568874464	6.6182341941834	6.61832585222919	6.65509794179521	6.27954510284808	6.17942962516935	6.40431086613465	6.24806958962627	6.02340171660427	6.10975739293403	5.79239398015448	5.54566536318129	5.22634792385755	5.02673349078437	4.8513910268826	4.57726221924529	4.61852670782499	4.0474857771402	3.7009608775171	3.37774091644139	2.9739608172365	2.46489295690282	2.49339204682911	2.02654561733882	1.26387363864892	1.21862354993696	1.61677592699319	1.8954313103491	2.28036756359576	2.73558860459892	2.52932524385863	2.50246398463592	2.35771264795546	2.36203782022942	2.41786878431389	3.55922653815449	3.54296858518334	2.02821507420805	1.93234255307217	1.59919131558371	1.54701296542575	2.10876182802685	3.81024116782719	3.00213390333652	1.34226634378236	1.12113957081158	1.18498512835015	1.35103766503111	1.87058253911584	2.24246873788339	1.58503141835165	1.35437999607371
A199	T7	15.1748545052359	13.8061608395463	11.8882849798366	11.0172250191871	10.2682704334439	10.0966578329385	9.91769645873732	9.49152533038069	9.52363032271785	9.48090345813103	9.14403033642509	9.1124394023729	9.10456521413853	9.28399044892406	9.34538881246614	9.36661072369126	9.42953436624326	9.87510288156289	9.94923248632977	9.93570731107757	9.83526291489304	9.43927026180862	9.23628777391555	8.6148179556896	8.36124269931886	8.05061489203172	7.94939642292255	7.93575599671607	7.89504042350777	7.61328090706726	7.49665990902068	7.50137101839704	7.58323677634215	7.59330766576929	7.45001255234652	7.35576799924101	7.52130279165962	7.47324098502409	7.25561073469474	7.12799857403616	6.976483399004	7.05790881514433	6.86741858069078	7.02998892757091	6.78767152024858	6.6589841581407	6.76318378461099	7.00477573072802	6.94569966627141	6.69407634818693	6.83487844870012	6.684096192365	6.7030534797762	6.67254007857944	6.54752998157302	6.41475627153201	6.48643629339093	6.76233100254204	6.71986793321995	6.86627839608458	6.79246668626864	6.6939713680427	6.81896397654526	6.88228328869993	6.74550372941734	6.78040007865851	6.72688945924016	6.4748448691153	6.61030615096395	6.52717013576572	6.55962923693582	6.64429222382823	6.56993842252879	6.39986966267383	6.1764340722719	6.01985168693834	6.10704533574124	6.0151262981798	6.04300992365507	6.0658268105686	5.99566856332105	5.88514437657678	5.66254949749152	5.54648740248087	5.60650083932984	6.15994736040803	5.33848360031268	5.12679467371738	4.80387004450974	4.7905161224043	4.42861325410022	4.3550660854643	4.15996493664761	3.86097204886657	3.68785118418332	3.07296311792604	2.57656790888371	2.58587382183159	3.28636313058681	2.8380365881506	1.80151626714972	1.82287763580337	1.86447456753218	2.03818243791065	2.69737997765888	3.56723300334009	2.65525233490832	2.32753435001152	2.36916210365246	2.44073661090696	2.71640924290583	4.66151591899734	4.68800459485959	2.32447622068712	1.98500505519299	2.06876752570706	2.00254125399685	3.23907517241416	5.12791354571258	4.21329585429234	1.90705476855943	1.81438816360699	1.99480692463469	1.83643180817436	2.64714326447525	3.23219808851628	2.10214313303443	1.95628815461109
A199	P7	14.6374951823139	13.4399942970706	11.9398772650618	11.1054160001999	10.5570788954629	10.2498963975143	9.83149669277108	9.57441962803155	9.86755896215776	10.2487495931978	10.191833789477	10.2068108713029	10.2852367140908	10.206932111657	10.2220580744779	10.559832854672	10.7900672588345	11.2407674491796	11.4929008505892	11.1024950124595	10.4735863544756	9.82448477314212	9.37201763425983	9.0627357217472	8.97721271704511	8.76977027817716	8.57219802080787	8.31546795473929	8.17172515380608	8.05910677020843	8.0163914007555	8.11787368349734	8.28898976986516	8.14794264130294	7.91193288013071	7.86230660500003	7.78702525345087	7.73866018704723	7.57588079596995	7.43408314203784	7.41922805680954	7.10923267577204	7.03787951268814	6.99499130605116	6.98526833179644	6.96649209145489	7.08364759345973	7.00317530009988	7.05951700845207	7.01527639443965	6.99946018955689	6.97090252521735	6.85305515272014	6.96123589425021	6.7917572026745	6.88368450828613	6.76988758542299	6.67115972423174	6.90348300266234	6.85054979478502	6.8124105748203	6.90193450922806	6.7827330531284	7.07106699944589	7.14823105076114	7.00704329909844	7.08188746166893	7.06446618569678	6.88948810750133	6.99506825216475	6.94674472916698	6.93417973068446	7.00822006524252	6.86171061736342	6.78015249261602	6.64844484719337	6.68769748819471	6.59315113467596	6.34266170963784	6.15742809926909	6.28270631249553	6.14204124381395	6.02916057660551	6.12716734930323	5.9125992033474	5.89542405702673	5.73192056921243	5.26847891121223	5.20112381464941	5.18750956879548	5.00857286487506	4.92801981278955	4.38010375951275	3.85231218343035	3.50289660454154	3.34048798760077	2.70103186155021	2.46630277919279	2.43611011506689	2.00044497220239	1.39487219069412	1.42020704079937	1.48678117041145	1.74444241165671	1.9663616083793	2.76039262072977	2.51424793579465	2.5646149780993	2.39554132531191	2.52896728478973	2.56360866589571	3.50728466047278	3.43213504318092	2.15703792210125	1.81999462397973	1.6072025834515	1.63756615550982	2.04617322447145	3.42471235208248	2.79203431535404	1.36753348521582	1.52328573138113	1.45671624022852	1.50328166566129	1.81552107790806	2.25817108336418	1.46973992267446	1.59736289684509
A199	O1	14.765608271119	13.4604993491959	12.2224470051334	11.8249241900624	11.6719859048902	11.4627239169472	11.1607738129369	10.8005431055722	10.5800023629822	10.5375752473392	10.6169624905811	10.6939656104858	10.682770933649	10.8365550078091	10.8842937202657	11.1011801875429	11.8695485347037	12.6434996605847	13.0880622964045	12.9490029827347	12.4198493304303	11.6236041068873	11.1190712560493	10.4863946795657	10.1773039659957	9.76331920800292	9.53891804803632	9.36009955288699	9.18125147403895	9.23121562148665	8.85789012765657	8.80945321929236	9.1043676252168	9.02514808588056	8.73045717570031	8.4857083157071	8.77846424983524	8.68956048554706	8.52062950271595	8.27833150351517	8.28856879205988	8.13568426745895	7.95868983057177	7.77898566941812	7.33373450437597	7.34839613185266	7.43306043347612	7.48980285499457	7.27997183608017	7.21623454289227	7.41075314399753	7.27523954082099	7.06840610243274	7.19663775541869	7.16136203135622	7.11166817456799	7.17870050310173	7.13929139265876	7.24102705002632	7.09056064252449	6.91814421719426	7.05968130809207	6.99643108774413	7.09522116698486	6.88197493966091	6.84500816607671	6.91466491695133	6.81565193735087	6.77178315180225	6.69505784270632	6.8892376362337	6.88864343318912	6.82981042084762	6.61181552383635	6.54886501845036	6.40921745768098	6.25338459388824	6.17026743857547	6.34350034491779	6.15916084974363	6.11657452067006	5.91934670592168	5.79358385837973	5.62844649917798	5.67763987420756	5.79611084440649	5.26351387611355	4.89420595685678	4.64837836424649	4.38418207489253	4.21321528165121	3.82770142425709	4.05411893079593	3.65996765833677	3.46244121294143	3.17653839667766	2.84911729978646	2.33053268341032	2.89088658971461	2.25825293448156	1.65053840684564	1.62584138189896	1.77899974892123	2.11993613623251	2.69135450138785	3.10189495965269	2.5892835567099	2.21166893601607	2.21966008658304	2.14882574522631	2.36515350164352	3.94989223524059	3.97094375936366	1.92606192777982	2.14914318598211	1.74469258876747	1.69617215473507	2.61532499369189	4.38826369592988	3.48817446751555	1.72583251210949	1.31759060120334	1.59799409931263	1.72637001180558	2.43001898646437	2.55313732831174	1.92174699652184	1.94282166005699
A199	O2	15.2184594818928	13.9599819760379	12.8581592344167	12.7852592089766	12.8294396892869	12.7038621893886	12.2236355554444	11.8942625840378	11.8175324679347	11.7150667976868	11.4845362758692	11.5829075916764	11.8963713741697	11.7435546168828	12.1154051832816	12.487247061706	13.2835236735489	14.2582253057586	14.4872696184765	13.9576985516756	13.0809319862462	12.2367536838991	11.7045126705056	11.3896786633984	11.0968162559549	10.7946316308519	10.6088558119191	10.4500393624229	10.2011509631923	10.0315835317536	10.0085520635688	9.94667582680269	9.98385475688568	9.7591532394847	9.67367450397706	9.8639133382986	9.94466475327569	9.63957019679331	9.67107291741691	9.54102951415216	9.34654480595102	9.06388949063968	8.73260838605749	8.61821655625586	8.55775726743568	8.62676330982694	8.49854661234251	8.48849339810987	8.21574840719355	8.25377877455122	8.28507124155086	8.42061799493817	8.31601845992642	7.87746647355237	8.11696115761002	8.26054830575793	7.97882671645791	7.69843893065193	7.85298163356098	7.82772661782361	7.84259266054682	7.61683601729885	7.80606332383973	7.71592007985466	7.62001400383319	7.56348635739842	7.11743082965017	7.17199373704188	7.42366565334083	7.44945879776084	7.40572724339587	7.13408231093964	7.1496708902588	6.80891884178379	6.85964408620466	7.24052731692708	6.95714614801544	6.68576838307317	6.49892966281792	6.46572421763715	6.34569326930702	6.36831229342979	6.15702053266878	5.76392390447767	5.75781868126894	5.86850649639379	5.48965506270103	5.29875640323322	5.08198886259752	4.73741466342154	4.66646462164384	4.5041470271092	4.37431317447832	3.84077318910481	3.36116558017686	3.31493654407576	2.98403691056366	2.88119935831974	2.81809142701243	2.64899726537902	2.18007791028764	2.05078491165891	2.33485108363617	2.22836236201492	2.70657617285512	3.17055714059206	2.93077531279984	2.74983367410539	2.87023841789	2.45092156895031	2.93510621410942	3.95367536815571	4.15347608094309	2.47803068205971	2.41188041291719	2.20382575684923	2.23370744094011	2.76786275942753	4.21125663875473	3.59587564026493	1.94327238887681	2.2408458700476	1.91414840607549	2.16590197542055	2.44939180598564	2.81375348202282	2.07065338138027	2.37853611217638
A199	P8	14.9212107122453	13.7833314549072	12.3796210704007	11.5449712506733	11.4028138645446	11.2392287851647	10.9953604185964	10.976060154312	10.834268476338	10.9307490979852	10.7274602557118	10.7373168073124	11.0200187053519	11.1522725607417	11.2204810662518	11.4629215542252	12.11595587906	12.9877317529203	13.1632173065473	12.5637148567941	11.6693089188322	11.2870697988372	11.0083576049649	10.7171055559315	10.3450546285145	10.3329457541824	10.1698783707144	9.97524831791591	9.67202520500515	9.49095712324859	9.544768158797	9.27508393354588	9.25307775988509	9.1057736061831	8.95795566662452	9.1143826925544	9.14616716924208	8.64899330713168	8.69975494387717	8.72501668442222	8.54255349794654	8.23798123759342	7.87742008853612	8.05630608866725	8.04764042115938	7.96158921422776	7.81178786200694	7.91610240462439	7.85827181362467	7.78017173851709	7.46350595066927	7.48852435831272	7.51852851203618	7.43235176245461	7.47209555078048	7.45641714667364	7.42411728151521	6.98415335086884	7.4017084028957	7.44358020663733	7.33327091784563	7.4082157307337	7.63377215195721	7.4335600414376	7.25861858504457	7.12543542119504	7.32371135425952	7.24621717893198	7.14503929102933	7.09414200538011	7.17490683744985	7.15517147716986	7.01678284441525	6.63610838938439	6.67720735220399	6.91375299028652	6.72963196194296	6.55489570051248	6.41571481517467	6.51087533743251	6.53626046837187	6.42200725413741	6.277351277716	6.08854677061899	5.94644417122723	5.978802157421	5.56679001123596	5.27179146095671	5.30361803884994	5.10068247432735	4.96073670554316	4.4671267195158	4.29423085691412	3.78967121335622	3.77073523482661	3.22678233697314	2.90911612423677	2.83950971728491	2.64000570514663	2.24298185563739	1.57086760350232	1.80865334374228	1.68230105474562	1.91990639644572	2.41798674953118	2.68132722819201	2.70059727919449	2.56628777834635	2.50571499115798	2.56458823147938	2.39904169012289	3.74942996180338	3.69473122605208	2.26944185741266	2.13783656120158	2.05324251956942	1.89649220431868	2.24185441078547	3.72351467860564	3.0749266043444	1.54406340023985	1.68940482620188	1.42055981497414	1.65042165838941	1.92845145379303	2.35564122819906	1.70851256146496	1.90781273376531
A199	T8	15.4068529426506	14.1525855616518	12.2206939400985	11.3992039553077	10.9321894327807	10.6917713976732	10.56163881426	10.5631310557524	10.4092193495045	10.4610510654928	10.3339575431733	10.2988659635424	10.4449126624611	10.5220739628988	10.5012921743642	10.8319790163971	11.0982337455234	11.7367239903414	11.814595692525	11.5935057435889	11.317260699641	11.1534793713596	10.8528128627793	10.5159717132319	10.0561320605602	10.0365854676875	10.0793363341673	9.74670337370301	9.30031941844359	9.14756638656437	9.24137585610735	8.98244458950133	8.72688832107404	8.74989505205153	8.80452772611383	8.75437710569356	8.77018922838251	8.30949959412914	8.37396099787157	8.31639943821033	8.05641799837336	7.86671157851515	7.90792412312053	7.96449704162258	7.69362056950827	7.7044509614862	7.68529052740757	7.65609497254192	7.59689488338221	7.68686090943148	7.6658197715194	7.52822801790668	7.52840898642414	7.64947405959504	7.42210171820671	7.47174848849225	7.60958464785905	7.3961216236018	7.2474678894217	7.15072294238631	7.2523076172658	7.36832217150854	7.46402810192045	7.5696019950851	7.4043008070124	7.21010894035667	7.24152635685214	7.2744061013075	7.17101725144946	7.18865822460795	7.27210158798555	7.18554841304925	6.97980976565836	6.69457665957906	6.97051346598181	6.9807100629969	6.68163598384713	6.30699426183037	6.59957528811777	6.45638823931828	6.38696464775928	6.22199606107578	6.030378113901	6.16465103011848	5.95805748706686	6.11939685294328	5.80206393795992	5.57284385334532	5.19526558298103	5.00959653531952	4.83570872275713	4.72876245545094	4.42947468490346	4.22842521675455	3.75643502953186	3.42788175522587	2.80676938150116	2.35765600454966	1.92664475916128	1.51625954572835	1.24028919379815	1.43323666681848	1.62881757264831	1.88652573084794	2.19820113076244	2.42053117969447	2.41168274460814	2.62249994461103	2.56312902868272	2.44378529152952	2.4165917205809	2.87117002649777	2.76573732229105	2.22217926643974	1.98692149874297	1.65657703911053	1.52729721171363	1.42624856817051	2.57773433567527	2.00979009469396	1.08746855721076	1.35499983595497	1.1357492819472	1.2418952957923	1.37011808762697	1.66093740369192	1.35270606879336	1.62557223804354
