material,Channel,Band,r,p,q
Vocabulary,O2,Upper Beta,0.2932378920441567,0.038759047753513964,0.26882170049764254
Vocabulary,O2,High Beta,0.05751413571981412,0.6915674761521446,0.9905560154893804
Vocabulary,O2,Gamma,-0.0813316672065572,0.5744653702214066,0.719974247624725
Vocabulary,P7,Delta,-0.1228351794659753,0.395418478499197,0.8937908679033256
Vocabulary,P7,Theta,-0.1713042762463469,0.2342494033566751,0.9526466405022743
Vocabulary,P7,Alpha,0.06181374883724234,0.6697856683112039,0.7213076427966811
Vocabulary,P7,Low Beta,-0.053512573115334354,0.7120643062506975,0.7366891411690515
Vocabulary,P7,Upper Beta,0.0010526723134780412,0.9942112018772422,0.9942112018772422
Vocabulary,P7,High Beta,-0.12741965439640854,0.3778815717982743,0.9905560154893804
Vocabulary,P7,Gamma,-0.1553479210722831,0.28136929498655217,0.719974247624725
Vocabulary,P8,Delta,-0.0665253557947717,0.6462223328041758,0.8937908679033256
Vocabulary,P8,Theta,0.09974484135393152,0.4907067844788616,0.9526466405022743
Vocabulary,P8,Alpha,0.24086840958716704,0.09198323177638432,0.3429634728811165
Vocabulary,P8,Low Beta,0.2961807243682369,0.036756793280696275,0.28249868946138296
Vocabulary,P8,Upper Beta,0.3128995029016197,0.026935280686277437,0.26882170049764254
Vocabulary,P8,High Beta,0.0815201010981515,0.5735761485152985,0.9905560154893804
Vocabulary,P8,Gamma,-0.04888633934171929,0.7360135541378894,0.7926299813792654
Vocabulary,T7,Delta,0.005877872117060238,0.9676850117749564,0.9679279768167927
Vocabulary,T7,Theta,-0.20177945836471592,0.15995892291130423,0.9526466405022743
Vocabulary,T7,Alpha,0.011812126356286243,0.9351122685443032,0.9351122685443032
Vocabulary,T7,Low Beta,-0.10928923563228207,0.4499413544080746,0.6103034304993638
Vocabulary,T7,Upper Beta,-0.09707874825861496,0.5024276373020844,0.7033986922229181
Vocabulary,T7,High Beta,-0.13242613119152966,0.35927027842155257,0.9905560154893804
Vocabulary,T7,Gamma,-0.10825406059139892,0.45427075427941477,0.719974247624725
Vocabulary,T8,Delta,0.005833655305768463,0.9679279768167927,0.9679279768167927
Vocabulary,T8,Theta,0.021056181789311543,0.884600451894969,0.9526466405022743
Vocabulary,T8,Alpha,0.17911721002393893,0.21327522911535374,0.3429634728811165
Vocabulary,T8,Low Beta,0.1858559145719363,0.19626966291894965,0.39438071215130704
Vocabulary,T8,Upper Beta,0.05718550137681142,0.6932428221986804,0.7643451753174662
Vocabulary,T8,High Beta,-0.09832220098450939,0.4969433173354443,0.9905560154893804
Vocabulary,T8,Gamma,-0.10288231211924849,0.4770981334115728,0.719974247624725
