Counter,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GyroX,GyroY,Timestamp,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,CMS_Q,DRL_Q,AF3_Q,F7_Q,F3_Q,FC5_Q,T7_Q,P7_Q,O1_Q,O2_Q,P8_Q,T8_Q,FC6_Q,F4_Q,F8_Q,AF4_Q,Blink,LeftWink,RightWink,EyesOpen,LeftEyeLid,RightEyelid
122,4867.692308,3846.666667,4890.769231,4584.615385,4326.153846,3834.358974,4406.666667,4298.461538,4230.769231,4269.230769,4508.205128,4072.307692,4203.589744,4249.230769,2539,2779,16.983,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
123,4881.025641,3850.25641,4897.948718,4587.692308,4327.179487,3845.641026,4412.820513,4300,4233.333333,4268.717949,4504.615385,4077.948718,4202.051282,4251.282051,2539,2779,16.991,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
124,4877.435897,3850.25641,4893.846154,4586.666667,4317.435897,3840,4406.666667,4295.384615,4223.076923,4264.615385,4508.717949,4075.897436,4196.410256,4251.794872,2539,2771,16.999,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
125,4868.205128,3847.179487,4890.25641,4583.589744,4309.74359,3832.820513,4402.051282,4294.358974,4219.487179,4265.641026,4504.102564,4074.358974,4187.692308,4248.205128,2539,2779,17.006,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
126,4865.128205,3844.102564,4890.769231,4582.051282,4311.282051,3835.384615,4410.769231,4301.025641,4231.282051,4267.692308,4491.794872,4075.897436,4184.102564,4247.692308,2543,2779,17.014,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
127,4864.615385,3842.564103,4890.769231,4581.025641,4308.717949,3838.461538,4413.333333,4305.641026,4232.820513,4266.666667,4494.871795,4070.769231,4193.333333,4251.282051,2535,2775,17.022,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
128,4871.794872,3845.641026,4889.74359,4583.076923,4314.358974,3841.538462,4410.769231,4304.102564,4226.666667,4265.128205,4505.641026,4064.615385,4198.974359,4248.205128,2539,2783,17.03,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
0,4879.487179,3849.74359,4892.307692,4588.717949,4332.307692,3849.74359,4415.384615,4302.051282,4231.282051,4265.128205,4509.74359,4072.307692,4200.512821,4246.153846,2543,2779,17.038,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
1,4870.25641,3850.25641,4893.846154,4590.25641,4336.923077,3852.307692,4418.461538,4299.487179,4228.717949,4267.692308,4508.717949,4074.358974,4199.487179,4249.74359,2535,2783,17.046,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
2,4858.974359,3846.153846,4884.102564,4582.051282,4324.102564,3847.692308,4413.333333,4294.871795,4216.923077,4266.153846,4503.076923,4063.076923,4190.25641,4243.076923,2539,2779,17.054,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0
