Subject	Channel1	Channel2	0.5Hz	1Hz	1.5Hz	2Hz	2.5Hz	3Hz	3.5Hz	4Hz	4.5Hz	5Hz	5.5Hz	6Hz	6.5Hz	7Hz	7.5Hz	8Hz	8.5Hz	9Hz	9.5Hz	10Hz	10.5Hz	11Hz	11.5Hz	12Hz	12.5Hz	13Hz	13.5Hz	14Hz	14.5Hz	15Hz	15.5Hz	16Hz	16.5Hz	17Hz	17.5Hz	18Hz	18.5Hz	19Hz	19.5Hz	20Hz	20.5Hz	21Hz	21.5Hz	22Hz	22.5Hz	23Hz	23.5Hz	24Hz	24.5Hz	25Hz	25.5Hz	26Hz	26.5Hz	27Hz	27.5Hz	28Hz	28.5Hz	29Hz	29.5Hz	30Hz	30.5Hz	31Hz	31.5Hz	32Hz	32.5Hz	33Hz	33.5Hz	34Hz	34.5Hz	35Hz	35.5Hz	36Hz	36.5Hz	37Hz	37.5Hz	38Hz	38.5Hz	39Hz	39.5Hz	40Hz	40.5Hz	41Hz	41.5Hz	42Hz	42.5Hz	43Hz	43.5Hz	44Hz	44.5Hz	45Hz	45.5Hz	46Hz	46.5Hz	47Hz	47.5Hz	48Hz	48.5Hz	49Hz	49.5Hz	50Hz	50.5Hz	51Hz	51.5Hz	52Hz	52.5Hz	53Hz	53.5Hz	54Hz	54.5Hz	55Hz	55.5Hz	56Hz	56.5Hz	57Hz	57.5Hz	58Hz	58.5Hz	59Hz	59.5Hz	60Hz	60.5Hz	61Hz	61.5Hz	62Hz	62.5Hz	63Hz	63.5Hz	64Hz
A198	AF3	F7	0.716834069209786	0.674692220099008	0.623383243934134	0.61026088735311	0.624399984205288	0.660393682970027	0.659433003770368	0.641670442204186	0.707346549552397	0.740166953268889	0.736561061962591	0.759051633042836	0.782830884394226	0.816720088896424	0.832176079334898	0.865324250907589	0.88762417064244	0.884959584747069	0.884867794362351	0.863347495246873	0.824670171324337	0.819905610437613	0.787187748075906	0.75571489866341	0.731524042939071	0.742876601947347	0.673732600972966	0.640774057810784	0.639072829513257	0.652107195400969	0.646079410109724	0.580471347421909	0.614046750795256	0.648957859878097	0.598793236674473	0.607748450025894	0.61482636579718	0.620585020161163	0.604853264831108	0.590333263920365	0.595392299189517	0.626071701220264	0.615865303337723	0.5687212672607	0.558074877712136	0.556172987976365	0.60390894019648	0.588060668104945	0.527557986266291	0.527346193359109	0.55296055247136	0.578531391922268	0.585182989121814	0.588422649213356	0.557417010348441	0.513004721650167	0.542621075389499	0.580363989394837	0.553919205379535	0.522485875745582	0.511868841753413	0.510147378774497	0.510768598976839	0.553203677574794	0.552776951813406	0.538933204888632	0.510187777803756	0.539862276116187	0.508873730581929	0.509852737978992	0.520736072743674	0.535674081184879	0.531871807927333	0.49221273675938	0.474865062035981	0.49422971285074	0.487652266434117	0.505017041171485	0.493497573445124	0.494090704995506	0.535571454242729	0.519818972589076	0.468884307145669	0.502603322511539	0.563362663006726	0.511928101441151	0.480303222107568	0.512431616859478	0.495942582574976	0.446510460551278	0.437725937996419	0.486069478876074	0.52085276279591	0.469022518429062	0.51660581968924	0.500108924948589	0.561483041400415	0.74045907874388	0.831961150367868	0.814138557572578	0.729280379886596	0.636346724715306	0.678107436470028	0.776333648499797	0.797771555538232	0.662935445212351	0.584459929135296	0.609794206033897	0.56520149802185	0.795189800315881	0.949509940636474	0.955525302484185	0.853401394613988	0.649590492172966	0.703037783270044	0.790659383225148	0.96145791543847	0.990537140545463	0.987029921899913	0.923256328474936	0.747394622986147	0.744324413360706	0.776334653409711	0.839893257168437	0.854397818095363	0.808030825063678	0.750792380065021	0.68342886447647
A198	AF3	F3	0.702592741023832	0.6298945045121	0.594047553969182	0.629670998380474	0.645870632900117	0.662407935824605	0.678183266351514	0.689223464504886	0.729822258643142	0.734270810403908	0.756021267743981	0.759916066196063	0.778834277482621	0.807556531580104	0.858261897550477	0.880659882169663	0.874583074002304	0.865259595578533	0.870890733671463	0.835249381441715	0.78198716645596	0.786307784818053	0.788071725926027	0.737656673692196	0.675112086958282	0.643858709316426	0.595015333713008	0.573984011076692	0.569337788858688	0.594910023912741	0.589295658510477	0.577509163311039	0.604960546740169	0.592503077350039	0.521241227912395	0.54641001813017	0.57439539928196	0.526659464883544	0.481970581177075	0.470539339099425	0.528220742717342	0.556196743526194	0.548838762617946	0.540370081191753	0.521300628265923	0.505541076669686	0.540184196058109	0.529167930922186	0.514403991687127	0.509058043971414	0.480959170854616	0.524681792924361	0.542906114787217	0.539877972555209	0.517611615279359	0.493036056412713	0.541624152908014	0.545816334753308	0.497037262335082	0.506955786747262	0.506176665064084	0.499445131686214	0.488062892367873	0.50552119338172	0.524893352725093	0.506579868773689	0.476705049998066	0.502712471980514	0.510723195578766	0.513425536827582	0.507965554044775	0.515051602058714	0.524304609155152	0.486929903955617	0.482237005609901	0.472594961503605	0.461884145347405	0.486691383638247	0.495842986496577	0.504839859584537	0.489971717791657	0.512895224872282	0.485642725068852	0.491370759735577	0.520836894763609	0.476855811737469	0.456607110719624	0.489818999404088	0.51818412615398	0.489495879791776	0.479695765341164	0.492391857362048	0.495135755219719	0.481155418348931	0.53303419388857	0.490259305167707	0.444224578401775	0.533863361936716	0.603322990099332	0.464164437946768	0.469151452007049	0.491841749081819	0.474595061168837	0.555087887324196	0.582776242610825	0.465455026078474	0.465066567379826	0.478993344989477	0.475374282500754	0.5039584597253	0.768095939716968	0.781150045209919	0.528937565998597	0.428483317038269	0.466927172680754	0.395373805130862	0.768536658190408	0.923057236477491	0.867286951169148	0.47065664219188	0.564347173436267	0.492953840439146	0.440290927063001	0.548990691066462	0.599217311099975	0.49969470658314	0.480940396204067	0.41579597308293
A198	AF3	FC5	0.640877313182942	0.602400176378416	0.541115356475314	0.582331050031628	0.596726853841209	0.637016773537399	0.674562484042565	0.658954330908656	0.671939796835879	0.699231150419339	0.702332973096895	0.740751240547437	0.765507621853579	0.8129995409625	0.845069982237996	0.871305000020005	0.879726355534188	0.84314565462511	0.86397570235602	0.824682040673094	0.762289442617234	0.737408402066124	0.740902185709628	0.694499972813864	0.667662496720396	0.67572085865169	0.625984471683138	0.601778350983813	0.56768816147607	0.593004917871846	0.577605083637434	0.555168770203341	0.571289976305503	0.581876723895368	0.560232426380582	0.563208876002436	0.578325455239947	0.585847903299763	0.574909444418819	0.543688634628391	0.574189192004183	0.605870313152277	0.605241167648619	0.589489112917501	0.539624819765489	0.519262594631573	0.535322521902143	0.505479457713999	0.509481120229848	0.518186758979251	0.514587864621703	0.527269583688724	0.508305844373976	0.533648391239875	0.564127580665416	0.497593631220859	0.519861073930451	0.50763089253594	0.475865700235946	0.469343415179094	0.489008687210503	0.501128352452981	0.506269863865126	0.54373261110859	0.479354848367656	0.483714957198573	0.501246602254972	0.50133627010034	0.453274354506372	0.464840784608308	0.467360289657792	0.460546668655193	0.520188891503019	0.488771024792595	0.442319905164484	0.475507239709337	0.499228117796236	0.51319152978554	0.48038429784595	0.491427272829981	0.490257809882908	0.493150979952507	0.46842086968486	0.499732161795589	0.574918770055863	0.447319391234458	0.468034147813506	0.510995337917777	0.491394862188374	0.448968709965505	0.477571399335252	0.503252339657418	0.480220263430526	0.42899258690367	0.497039254228247	0.484717602997773	0.456105133919187	0.564480699302176	0.572219890461315	0.443210141518107	0.457469924474148	0.457812124704473	0.461411038868071	0.578741400905174	0.62923017003488	0.48309986417166	0.452764055269653	0.477198000812942	0.498027849810848	0.603486734723213	0.867220500048543	0.89262817601453	0.68287881886703	0.41785600587083	0.476286085291915	0.401713599059787	0.83654731252272	0.949802416890627	0.923912624626017	0.640495053142551	0.464725085957292	0.474590787370474	0.43262600622547	0.543139348432312	0.621102563291995	0.507194376999008	0.441497900079548	0.382335022201123
A198	AF3	T7	0.684627301025667	0.617555088203727	0.511357368993877	0.529943467899226	0.513848003593278	0.523272240322298	0.528908396089093	0.530033465554282	0.517067841027268	0.521503126444853	0.489990570976791	0.48843458094125	0.532383589040551	0.557332032209378	0.588601255645956	0.587125978502012	0.567943279079985	0.549440840070617	0.56200217023214	0.557245385660538	0.545705989558973	0.566916406102715	0.593220367633382	0.556559074084985	0.530453497260892	0.557268707460606	0.510609813333946	0.499537884697423	0.530006751651849	0.544669119031115	0.532656868892314	0.539571622209909	0.544592739921128	0.513485665751084	0.518667836024724	0.540103514093591	0.524011399685916	0.452888199007097	0.452838300776872	0.486287432810774	0.488929100585551	0.518164468803672	0.524847862392154	0.491201932887713	0.499908267883872	0.514618432485656	0.51450241334176	0.515723689464831	0.519598206921666	0.518206156150468	0.518593113215598	0.534016231774386	0.5461228798629	0.550068168176238	0.510224478805809	0.495563085318195	0.522911758604492	0.530762578211399	0.511344564730246	0.483958190841444	0.5039183091917	0.461806733489434	0.503216148158823	0.54545974332479	0.518796070531972	0.486633889284139	0.477785815729936	0.485210165441633	0.510959461942571	0.541717208077907	0.518459125021628	0.490104595569549	0.511241298487512	0.487742573448073	0.466496434397118	0.495989736405301	0.488982395776786	0.507730329140249	0.511845072621285	0.533838842085688	0.534675540822736	0.474026290806581	0.460467665872424	0.514190023750638	0.546261906982751	0.44253719104726	0.474732283333884	0.512966218984949	0.509263270238119	0.483924222692762	0.495754151086423	0.503014582771051	0.484574451532088	0.456641572935056	0.514432375345121	0.469331525389627	0.420086558231231	0.571815570034971	0.63507138194863	0.496792962189816	0.46119099246045	0.49399250562448	0.507283874104023	0.589412871834576	0.63754388995512	0.508787371653335	0.442820910874638	0.464440265316951	0.446236271924632	0.51762868331363	0.791021800989835	0.822240676147694	0.608000748142473	0.44149482536033	0.524617550937271	0.440676377414028	0.810003743464244	0.939504612962258	0.906515515188118	0.627231806712592	0.499054645053902	0.480138348299933	0.482890740686583	0.589193615240103	0.61735591581675	0.532068161135714	0.501108354082085	0.453768369209995
A198	AF3	P7	0.636885277880253	0.560729485403187	0.425678200189011	0.481522839237712	0.469677845578068	0.457254015331442	0.483945772124082	0.485874611001967	0.495078091286232	0.508092461096712	0.505246493848336	0.467836082539246	0.493428308207909	0.489335946993468	0.536030346052477	0.582477201973151	0.597604152521289	0.594193555764688	0.589520557045053	0.516360391361735	0.5218722263047	0.481548744851974	0.52150389095383	0.510179837950209	0.502301418099152	0.56430433108519	0.510210459714432	0.492422645229827	0.510597824885182	0.513909151538904	0.515461531264292	0.500897776824189	0.491025667760062	0.457741648317008	0.468576956980571	0.51011877817649	0.513047648835444	0.46972895067323	0.444267434935472	0.49039350449134	0.530354987899482	0.497406670239596	0.498296084566882	0.451013570901577	0.469812827744006	0.495653723168566	0.47428912068081	0.521562459704641	0.500597085897288	0.492396278726307	0.519650149898772	0.532750867229924	0.523422173410091	0.525890632133063	0.514782230665375	0.499566039598207	0.512228305508641	0.532029090398103	0.492208121227684	0.465819744159204	0.512382853311936	0.510228487649466	0.515201977974216	0.515018692636863	0.521799254601322	0.514385053395935	0.487054119818194	0.510040691698536	0.519962096644644	0.508591950749015	0.533750019182308	0.512990640211532	0.509409591350466	0.485251361556851	0.470783408031768	0.465613816093074	0.497892423722171	0.490772984358383	0.472061867318482	0.473024679616335	0.52992203604522	0.505148218890324	0.44925806756491	0.521037318525531	0.575385008566587	0.530091973564922	0.494028059402579	0.461769337361995	0.47043690675155	0.485644697049872	0.48761599627966	0.519574126976085	0.542987453730124	0.497898013487308	0.509849032627122	0.508127653408667	0.472640855813723	0.590663503952397	0.649375123317578	0.579429734005382	0.556174686720442	0.549852769008634	0.521242112962015	0.616797264725425	0.673806429996923	0.563161474780579	0.499088734215018	0.517030746970365	0.505000247804009	0.569921397098791	0.80256871853569	0.828477956776467	0.652970348859336	0.500430461670426	0.547555403758602	0.524256049948827	0.827679715520751	0.93891830218264	0.901342363844027	0.680240399539832	0.555982545699292	0.561989944221289	0.549241911881995	0.62416481597119	0.664613114764031	0.572992286751651	0.533248353384068	0.475059842907425
A198	AF3	O1	0.633632407876302	0.549448757501425	0.418942317382455	0.41842452201091	0.4415561238071	0.451758759110349	0.444893741489988	0.492083777096177	0.529976502861128	0.532863247672579	0.534288248797882	0.47217524133917	0.491408685731377	0.473601421564191	0.500544798307794	0.528202352902451	0.55974913426671	0.562377237533275	0.538171044669715	0.519974667485641	0.52419546578164	0.50029942658213	0.50909279048791	0.495374525482389	0.49737296525968	0.546649360011281	0.502039324064876	0.473114277702286	0.524727044966565	0.541056825361753	0.487943072162104	0.496719048230277	0.490402565637959	0.454074835959705	0.472729710207253	0.540916564773529	0.529000832962351	0.515214968242362	0.500868327739436	0.512430980373306	0.497410702480687	0.471069237938063	0.438155590322219	0.488795267155961	0.500605944279279	0.492633729064693	0.495231583943733	0.48973751769064	0.483038475146696	0.473352760599021	0.496277352447615	0.507212556625252	0.496120791623566	0.513105025383059	0.516195526976655	0.492453913613221	0.491503060311652	0.495147214538259	0.494050614106583	0.463255150380255	0.504766848251808	0.488672821327107	0.478030929348809	0.517321238633548	0.519105241233202	0.497365922920671	0.474567855684785	0.469698444955255	0.512309703487683	0.525619175939857	0.493815374199004	0.461961489494375	0.490386873826974	0.491361283937645	0.493520067159429	0.47101052464284	0.484753842094224	0.501796577040606	0.470432722581037	0.459751971154901	0.476014689038812	0.47966921252292	0.44675698090802	0.514323873872075	0.56905555095429	0.490281289844609	0.504918743695911	0.514388501483413	0.492752076102454	0.488993549011525	0.487351511472834	0.529903170671126	0.498712330540069	0.46214673876253	0.453461572991112	0.468419428983261	0.475042761927916	0.601260714280362	0.658726900962787	0.515816279816666	0.480381418432362	0.499351755380175	0.473614663421682	0.604382365370136	0.669810270088824	0.512616647843419	0.50104528071008	0.525175865140059	0.483996033465451	0.663212937782917	0.905393769214745	0.916927593694028	0.731229155992685	0.468087956264736	0.510523879617586	0.475523236634473	0.863852156102296	0.954599396118243	0.932135630238771	0.69196559888885	0.492141680634917	0.461192104018081	0.514422151482588	0.635212000317286	0.672666376360437	0.569408290762101	0.522268571813066	0.455318641278184
A198	AF3	O2	0.594816181999591	0.528552919918629	0.460569739588462	0.47474223294681	0.48229077015117	0.485809553170702	0.513716926123584	0.487100645481613	0.519506791706184	0.546078280828519	0.523666797814718	0.504928526729273	0.520904446404889	0.506005271543511	0.504174255230926	0.52758287764565	0.580494455930441	0.593344066201144	0.557656945349985	0.511788300498444	0.498540625770516	0.490274879084191	0.532263177205912	0.522867212081275	0.517589859288671	0.53758236897109	0.511473446571371	0.495479944445094	0.537596244070263	0.56164210863002	0.523043398427029	0.49570361764388	0.507810851570114	0.482608297859171	0.471613658019633	0.486683815751318	0.506380283376225	0.480109311287143	0.505318650685396	0.509100876432521	0.529668460958486	0.501264265417571	0.477571762576042	0.471446098069828	0.489253069004501	0.474721033622797	0.483449128095717	0.465240021104572	0.473020464746257	0.472532239584273	0.492731180375705	0.493666931630799	0.496432323655678	0.50102806667826	0.508166876611721	0.485362346788416	0.512656946015673	0.507743226146148	0.490371893902768	0.466261666032159	0.486452679256619	0.468244202386412	0.49143434428968	0.521106038024319	0.530697275613333	0.462470160767619	0.469388223736362	0.493402250011037	0.474415736539539	0.513732187881362	0.539734983199542	0.489943350586062	0.506768496264981	0.536002864034463	0.51998203072263	0.506880690724216	0.470283532561102	0.484504144907177	0.473629479700807	0.487407927167452	0.515740757943463	0.492633934720523	0.480906325710916	0.501881946413905	0.527524507668562	0.478898946245308	0.485177030814464	0.474407133969608	0.484822299919425	0.449472853961934	0.487348713391883	0.520328919380241	0.490486849291323	0.456870163953284	0.507404686875259	0.463832811370227	0.402621417738263	0.496597533283675	0.521373858527947	0.433784568449908	0.469849885894188	0.436520481139264	0.468030372986536	0.549462938033124	0.576587806461358	0.4388025983689	0.427547214752981	0.484635607827547	0.465248251885831	0.437112181104231	0.715728602076838	0.773039001358127	0.530751616098968	0.424388919521464	0.481137853823917	0.357231521905401	0.730761792874018	0.900969643748881	0.845533627472458	0.537023318640844	0.471328241114529	0.509730724600189	0.491321202648005	0.558700036965327	0.55075302033914	0.46373756325894	0.477650052979653	0.437151788393689
A198	AF3	P8	0.628625093920417	0.538240908432201	0.459320789855689	0.491348789789629	0.518014778441037	0.537456605003819	0.491782975901573	0.476025547064637	0.484061074738401	0.513644792136956	0.539343844235678	0.500361821331524	0.537193211819777	0.517148538484543	0.487082836054414	0.505303344992985	0.576645186410226	0.604235353555087	0.575069601243492	0.522085417968157	0.51538016329247	0.52834555676274	0.562245348879245	0.531181506925138	0.521623844779496	0.541038370110491	0.522226775309689	0.517669975478248	0.561696683329134	0.562687970290967	0.546919617124275	0.529955880699615	0.51952515568501	0.520246766728379	0.490816204497798	0.534878348203475	0.548934147497719	0.488890556523083	0.499972992881624	0.490847164911122	0.463802001948368	0.488216305373997	0.500857515953784	0.493035851799418	0.47998059069535	0.500380336272441	0.500642742968376	0.479966156545525	0.465137097552681	0.485723020668949	0.487676037310481	0.511532660239489	0.492478722992847	0.477234424769686	0.494927088961803	0.496972590050946	0.510291119501215	0.509805741661748	0.514524915355771	0.493729862704588	0.461716042729821	0.477483787051157	0.509642145629709	0.536948336140593	0.505428937602751	0.498487789232483	0.490435084132798	0.512743048698504	0.514526683436434	0.516475952716929	0.456579923411713	0.450522269694357	0.480094538165393	0.479612161367249	0.483081711135828	0.448444091013916	0.477462880024936	0.520532937892332	0.469180665562771	0.475640427454793	0.541557178147873	0.539588313025814	0.486344799909984	0.491249346748056	0.531823315940449	0.455006875131897	0.468232253590908	0.451495204559096	0.475830051048717	0.512536531701357	0.510019485233853	0.532850047975294	0.528220683921235	0.497223767178607	0.48604455760998	0.484192263541737	0.391906976410201	0.440117088915074	0.510496973925198	0.425011171827037	0.467230412741765	0.445575932966265	0.485929967374206	0.54527157328727	0.55988530573541	0.449469098039669	0.440826023439715	0.454832836834638	0.469370435480585	0.419929551293277	0.655231779095386	0.696610435617321	0.490680588594172	0.468197126486203	0.507594080911659	0.337963021375494	0.576805612821541	0.820664782575735	0.800860872631555	0.524711855861078	0.47953595559578	0.52774379367752	0.474713034279915	0.540030415901349	0.559688746287777	0.474312187187378	0.501952774686545	0.472752421680334
A198	AF3	T8	0.649894915169972	0.552002028333654	0.44355198263459	0.503313496858353	0.503856981680268	0.486269888706344	0.494971637031832	0.505183634135978	0.527586658866503	0.543081057867847	0.55321776277881	0.541397393648777	0.552042764820899	0.548705008033941	0.538773635782146	0.573062481992791	0.586882236030473	0.583721633852812	0.597432878058877	0.611661131426973	0.586971735261691	0.604750873281196	0.617565990553694	0.60378449454243	0.577953539271606	0.591600796062474	0.562553314648689	0.529712259753559	0.555477488161477	0.567000606899356	0.574573782925389	0.520621327956016	0.531360625518663	0.541122003839013	0.528130343471826	0.550623550028471	0.542247558213059	0.533450337748265	0.526807705652373	0.512287887976368	0.559796807073688	0.557375693467008	0.555258052233353	0.540854705805519	0.511436568256531	0.518281243912192	0.498200770807405	0.496340127149652	0.49853796114532	0.486682108964343	0.496639022405372	0.537496320557489	0.542039902688855	0.525135082836221	0.506646954413974	0.474407599374694	0.483743936688056	0.492721551662741	0.478685416832409	0.431262319349394	0.473862311871258	0.501533300984814	0.498997307417037	0.520906807534711	0.511829253649903	0.508687465999135	0.471362270250345	0.471255985228271	0.453977753234152	0.492456052748505	0.506685555104491	0.498528799415846	0.525376655903158	0.507068426141791	0.508404622720532	0.478351105655141	0.480964048612875	0.471456716064533	0.461602665336232	0.503189323315072	0.521685173794517	0.455352984862324	0.434693965981745	0.50974169235751	0.557323498395205	0.472109444722519	0.444405733003639	0.51188041357729	0.524450116484449	0.455869680003437	0.465171705932686	0.468357508055692	0.520847094539015	0.503490721163857	0.534733085466662	0.479235675168771	0.385168332367494	0.505132790276245	0.547389891178606	0.41650065331022	0.463652330644693	0.438553347158338	0.474482627101451	0.519608761976132	0.539611779173173	0.419656914955184	0.410022081915305	0.480793776083327	0.462094589477252	0.395693348542523	0.664681875713977	0.70959828824111	0.494506217614934	0.465177045671113	0.476470456879539	0.366545897012301	0.624071451739225	0.831993850804071	0.775580327089509	0.452444901931517	0.533623969447576	0.525868545619581	0.495123020144289	0.506839119820462	0.518310981219804	0.452088555283055	0.471688986153869	0.436119824711336
A198	AF3	FC6	0.698315606459588	0.651414642318524	0.59857355199642	0.614543777741756	0.607179818652793	0.575227030784143	0.587529521649723	0.627448765456319	0.616610997529746	0.632149234670171	0.648657035459578	0.658376961385406	0.687755624184125	0.727170776582245	0.736294102076843	0.749068298278579	0.757079650176992	0.766683908099843	0.79676695482034	0.782007958161709	0.70190694566921	0.674379684970229	0.703714386995868	0.659455395843022	0.62835214123076	0.631194240602393	0.616209579714953	0.605615808097807	0.584658715971802	0.585202869400249	0.613706311158139	0.584636055478118	0.556952774469034	0.583708889980911	0.551747788320167	0.55891643360621	0.587279535547071	0.555183598969965	0.543962591980812	0.539162179347661	0.538798875081113	0.544542770315296	0.567219592054027	0.560144782418925	0.521403081446015	0.536412969399048	0.530386346626536	0.545864375316114	0.534711044276712	0.569644578390648	0.528907535044688	0.507371505394723	0.513171872506051	0.515871031774501	0.553329942560397	0.540788662447324	0.530787463114078	0.532411518653101	0.522467956819644	0.516346513486413	0.516167657791313	0.487800733077721	0.463635381541108	0.502714151973706	0.517615593985701	0.500849945945683	0.479639073247998	0.512629120668209	0.522624617520866	0.536858665263247	0.488617407517361	0.4940441801278	0.520186391465651	0.513769755809925	0.495823148876476	0.466257677428495	0.450983444914729	0.473264847823512	0.499037782621698	0.51729894059346	0.535018596685125	0.519687857013963	0.439456988676683	0.528873428869458	0.565199327018271	0.51624370068702	0.470993092710541	0.520534092984393	0.494056960535732	0.451760291962834	0.45602363013931	0.509126762500814	0.502869721865191	0.468399608633094	0.502035151867589	0.484510966789948	0.5427351639851	0.694571524409065	0.776885501983913	0.738063546532485	0.673372555458193	0.66472518425747	0.63924111808771	0.724390744639901	0.768315935392867	0.640919896409328	0.5025094578655	0.554248067018507	0.550192527238801	0.715366830266829	0.914900629127839	0.937923929386028	0.820599397330553	0.603400565676505	0.653531537282805	0.701961384041092	0.945245784528628	0.983927777490207	0.972054822229124	0.882099240012733	0.709627106115173	0.713028812317117	0.751636645633379	0.802089524616053	0.816665245202713	0.767949959716251	0.692288020189288	0.587013746267182
