Predictor,Beta,Channel,Band
(Intercept),0.009549440606873797,(Intercept),NA
AF3_Delta,-0.006590982251716071,AF3,Delta
AF4_Delta,0.002942219428649753,AF4,Delta
F3_Delta,-0.020809078476738005,F3,Delta
F4_Delta,0.03104379442593866,F4,Delta
F7_Delta,0.011708885065864722,F7,Delta
F8_Delta,-0.013487810162454966,F8,Delta
FC5_Delta,-0.01472626810249907,FC5,Delta
FC6_Delta,-0.012588930023588173,FC6,Delta
T7_Delta,-0.006540325315669092,T7,Delta
T8_Delta,0.017705454995317796,T8,Delta
P7_Delta,5.327829136505801e-4,P7,Delta
P8_Delta,0.024328250691220438,P8,Delta
O1_Delta,7.618045503563944e-4,O1,Delta
O2_Delta,0.011533721250271835,O2,Delta
AF3_Theta,-1.4124571890907227e-4,AF3,Theta
AF4_Theta,-2.918049120381812e-5,AF4,Theta
F3_Theta,-0.001030578041824158,F3,Theta
F4_Theta,-1.2638744805664286e-4,F4,Theta
F7_Theta,-0.0010109169044558678,F7,Theta
F8_Theta,-9.182334862683607e-4,F8,Theta
FC5_Theta,-8.110701283720593e-4,FC5,Theta
FC6_Theta,3.5451223321953117e-4,FC6,Theta
T7_Theta,-0.003237252003943211,T7,Theta
T8_Theta,0.00127898039408143,T8,Theta
P7_Theta,-0.001822458606710888,P7,Theta
P8_Theta,0.0014618445069895158,P8,Theta
O1_Theta,9.159509028601286e-6,O1,Theta
O2_Theta,9.517468695263403e-4,O2,Theta
AF3_Alpha,-0.0017546107337863043,AF3,Alpha
AF4_Alpha,0.0035194206729494875,AF4,Alpha
F3_Alpha,3.4301938752758437e-4,F3,Alpha
F4_Alpha,0.0028872079517490187,F4,Alpha
F7_Alpha,0.0011466787351296105,F7,Alpha
F8_Alpha,0.005203570661197187,F8,Alpha
FC5_Alpha,0.0010119753827459502,FC5,Alpha
FC6_Alpha,0.01121597123872676,FC6,Alpha
T7_Alpha,-0.004972709062652513,T7,Alpha
T8_Alpha,0.012229199350541384,T8,Alpha
P7_Alpha,-0.019270088264299354,P7,Alpha
P8_Alpha,-0.0037896060684708224,P8,Alpha
O1_Alpha,-0.007529645044740269,O1,Alpha
O2_Alpha,0.003924989754826947,O2,Alpha
AF3_Low Beta,0,AF3,Low Beta
AF4_Low Beta,0,AF4,Low Beta
F3_Low Beta,0,F3,Low Beta
F4_Low Beta,0,F4,Low Beta
F7_Low Beta,0,F7,Low Beta
F8_Low Beta,0,F8,Low Beta
FC5_Low Beta,0,FC5,Low Beta
FC6_Low Beta,0,FC6,Low Beta
T7_Low Beta,0,T7,Low Beta
T8_Low Beta,0,T8,Low Beta
P7_Low Beta,0,P7,Low Beta
P8_Low Beta,0,P8,Low Beta
O1_Low Beta,0,O1,Low Beta
O2_Low Beta,0,O2,Low Beta
AF3_Upper Beta,6.797726539560557e-4,AF3,Upper Beta
AF4_Upper Beta,8.946117091352592e-4,AF4,Upper Beta
F3_Upper Beta,9.220124254251245e-5,F3,Upper Beta
F4_Upper Beta,3.0070440348162094e-4,F4,Upper Beta
F7_Upper Beta,4.2061986166110163e-4,F7,Upper Beta
F8_Upper Beta,6.350752556744e-4,F8,Upper Beta
FC5_Upper Beta,1.3776042096672625e-4,FC5,Upper Beta
FC6_Upper Beta,6.932832526219859e-4,FC6,Upper Beta
T7_Upper Beta,4.618549019410516e-4,T7,Upper Beta
T8_Upper Beta,2.732684500879389e-4,T8,Upper Beta
P7_Upper Beta,2.3245136630329954e-4,P7,Upper Beta
P8_Upper Beta,1.818081452514254e-5,P8,Upper Beta
O1_Upper Beta,5.770928233255149e-4,O1,Upper Beta
O2_Upper Beta,6.599011513866939e-4,O2,Upper Beta
AF3_High Beta,0,AF3,High Beta
AF4_High Beta,0,AF4,High Beta
F3_High Beta,0,F3,High Beta
F4_High Beta,0,F4,High Beta
F7_High Beta,0,F7,High Beta
F8_High Beta,0,F8,High Beta
FC5_High Beta,0,FC5,High Beta
FC6_High Beta,0,FC6,High Beta
T7_High Beta,0,T7,High Beta
T8_High Beta,0,T8,High Beta
P7_High Beta,0,P7,High Beta
P8_High Beta,0,P8,High Beta
O1_High Beta,0,O1,High Beta
O2_High Beta,0,O2,High Beta
AF3_Gamma,0.0014411070780929068,AF3,Gamma
AF4_Gamma,0.005385961796757844,AF4,Gamma
F3_Gamma,-0.010675059725134722,F3,Gamma
F4_Gamma,-0.005400639646943844,F4,Gamma
F7_Gamma,-0.010389558759636968,F7,Gamma
F8_Gamma,-0.0043518363347139245,F8,Gamma
FC5_Gamma,-0.0014839149216095498,FC5,Gamma
FC6_Gamma,-0.002729143151296211,FC6,Gamma
T7_Gamma,0.007357267392902362,T7,Gamma
T8_Gamma,-0.01448275626421491,T8,Gamma
P7_Gamma,-0.006092413604381454,P7,Gamma
P8_Gamma,-0.004179772489931371,P8,Gamma
O1_Gamma,0.00833517554850138,O1,Gamma
O2_Gamma,0.010308052773886148,O2,Gamma
