material,Channel,Band,Recording,r,rob_r,p,q,rob_p,rob_q
Maps,AF3,Delta,Eyes Closed,0.009617180731602887,-0.1323405602827855,0.9471507540384805,0.9708392164200865,0.3595836186551963,0.7221554481947263
Maps,AF3,Theta,Eyes Closed,0.07165614431488858,-0.059608286645054916,0.6209485794637222,0.7902981920447373,0.6809263096884237,0.9532968335637931
Maps,AF3,Alpha,Eyes Closed,0.11268494255915168,0.10354024520137753,0.4358997235354426,0.5921532619809726,0.47426997628410483,0.8299724584971835
Maps,AF3,Low Beta,Eyes Closed,0.18941314908081885,0.15529477392413463,0.1876912640911809,0.31599110887274245,0.2815359614190365,0.4971806043610747
Maps,AF3,Upper Beta,Eyes Closed,0.3139396522562544,0.26248922668935065,0.026404908050260037,0.09241717817591014,0.06553772841248753,0.18350563955496507
Maps,AF3,High Beta,Eyes Closed,0.2187420701520117,0.15342840262643614,0.12696817790330256,0.40260711177095443,0.2874299358139192,0.6470754199703593
Maps,AF3,Gamma,Eyes Closed,0.10128685355688746,-0.07242344510313443,0.48399324738847127,0.923930494582726,0.6172049735907053,0.9628967791271998
Maps,AF4,Delta,Eyes Closed,0.09600743132693641,-0.008252031281956174,0.5071774738407837,0.9708392164200865,0.9546441751269168,0.9693682830185142
Maps,AF4,Theta,Eyes Closed,0.07910919140380658,-0.007724917266627899,0.5850006076110614,0.7902981920447373,0.9575386232175004,0.976151765584141
Maps,AF4,Alpha,Eyes Closed,0.14713358832541004,0.12844654719468446,0.30789936494196135,0.5822306200478885,0.3740180258648844,0.7603919867992315
Maps,AF4,Low Beta,Eyes Closed,0.2157364462992798,0.19877133787804965,0.13240515528651337,0.31599110887274245,0.16641088789757383,0.4971806043610747
Maps,AF4,Upper Beta,Eyes Closed,0.3386733043703144,0.3250026696486585,0.016137944832651758,0.09241717817591014,0.02128462204286294,0.18350563955496507
Maps,AF4,High Beta,Eyes Closed,0.28002019635162806,0.219258981167764,0.0488888665890805,0.34222206612356354,0.12605032823006082,0.6470754199703593
Maps,AF4,Gamma,Eyes Closed,0.14499586000954023,-0.006749387708366965,0.3150580875963358,0.923930494582726,0.9628967791271998,0.9628967791271998
Maps,F3,Delta,Eyes Closed,-0.005303883234623393,-0.046695004570377494,0.9708392164200865,0.9708392164200865,0.7474466563588908,0.927723255040794
Maps,F3,Theta,Eyes Closed,0.07195883008335342,0.004337305094803207,0.619470654698671,0.7902981920447373,0.976151765584141,0.976151765584141
Maps,F3,Alpha,Eyes Closed,0.13985502734500152,0.08881905263518938,0.3327032114559363,0.5822306200478885,0.5396286434995157,0.83942233433258
Maps,F3,Low Beta,Eyes Closed,0.1832644736065299,0.10649779353633947,0.20269167886658437,0.31599110887274245,0.46166770404956936,0.4971806043610747
Maps,F3,Upper Beta,Eyes Closed,0.2558460095223067,0.1747782891092268,0.07292090568413134,0.11982457366891607,0.22475499461415277,0.39332124057476736
Maps,F3,High Beta,Eyes Closed,0.1844514547948876,0.1353068608680133,0.19973198789312044,0.40260711177095443,0.3488188531366717,0.6470754199703593
Maps,F3,Gamma,Eyes Closed,0.02164208317156904,0.014744122172815153,0.8814120771504272,0.923930494582726,0.9190541789602936,0.9628967791271998
Maps,F4,Delta,Eyes Closed,0.23891899644800818,0.22337174012898245,0.09472581928363376,0.3434256572699158,0.11892495338659284,0.5180665794590601
Maps,F4,Theta,Eyes Closed,0.12171108858058124,0.1586071158056024,0.39979000387637986,0.7902981920447373,0.2712724898019613,0.7730901748930461
Maps,F4,Alpha,Eyes Closed,0.15647850183535408,0.12680750275345223,0.27783921790991406,0.5822306200478885,0.38019599339961574,0.7603919867992315
Maps,F4,Low Beta,Eyes Closed,0.199715269588105,0.18358773936349965,0.16436622662776132,0.31599110887274245,0.20188258056717753,0.4971806043610747
Maps,F4,Upper Beta,Eyes Closed,0.28964216478704763,0.26464505865810733,0.04132643648554233,0.11571402215951851,0.06327440107548724,0.18350563955496507
Maps,F4,High Beta,Eyes Closed,0.2152143080520951,0.21711185931658064,0.13336720560641252,0.40260711177095443,0.1298958489499386,0.6470754199703593
Maps,F4,Gamma,Eyes Closed,0.13536587867533517,0.09924119388670254,0.3486067085096862,0.923930494582726,0.4929099915427845,0.9628967791271998
Maps,F7,Delta,Eyes Closed,-0.05802161142471864,-0.07403881185942383,0.6889832863088445,0.9708392164200865,0.6093552124421171,0.927723255040794
Maps,F7,Theta,Eyes Closed,0.08663574695055198,-0.025623746796760882,0.5496803291384129,0.7902981920447373,0.8597963352059907,0.976151765584141
Maps,F7,Alpha,Eyes Closed,0.1153072367037482,0.03987308465851666,0.42522585439326843,0.5921532619809726,0.7833750914293633,0.8436347138470066
Maps,F7,Low Beta,Eyes Closed,0.202892083259159,0.11294116287176531,0.1576195257378306,0.31599110887274245,0.43485024977582176,0.4971806043610747
Maps,F7,Upper Beta,Eyes Closed,0.2541061748129401,0.14932757839432034,0.07495955561795134,0.11982457366891607,0.30066150769698824,0.46769567863975947
Maps,F7,High Beta,Eyes Closed,0.12093397935748396,-0.11147694546708427,0.4028285208854895,0.5639599292396852,0.44086666544114705,0.6470754199703593
Maps,F7,Gamma,Eyes Closed,-0.02091648763385263,-0.19135572925090116,0.885360912685867,0.923930494582726,0.18312143457371993,0.9176203892589279
Maps,F8,Delta,Eyes Closed,0.011083097857161708,-0.037648730876600686,0.9391092659528464,0.9708392164200865,0.7951913614635376,0.927723255040794
Maps,F8,Theta,Eyes Closed,0.14679715989721942,0.1570378319531767,0.30901901375634827,0.7902981920447373,0.2761036338903736,0.7730901748930461
Maps,F8,Alpha,Eyes Closed,0.1729080776978863,0.1582168427805863,0.22983261099636715,0.5822306200478885,0.2724686983470849,0.7603919867992315
Maps,F8,Low Beta,Eyes Closed,0.20574391755053228,0.20878341365516315,0.15173805408805002,0.31599110887274245,0.14564943385474322,0.4971806043610747
Maps,F8,Upper Beta,Eyes Closed,0.3191906814014415,0.28159982031228464,0.023858953616136387,0.09241717817591014,0.04757542477239288,0.18350563955496507
Maps,F8,High Beta,Eyes Closed,0.18381964375063115,0.11376113508813418,0.20130355588547721,0.40260711177095443,0.43150116928536486,0.6470754199703593
