material,Channel,Band,Recording,r,p,rob_r,q,rob_p,rob_q
Maps,F8,Upper Beta,Eyes Open,0.3357589112819071,0.017135818587329304,0.31716182751017175,0.03427163717465861,0.024817059899709087,0.049634119799418175
Maps,F8,High Beta,Eyes Open,0.19884315821461818,0.16625466924608504,0.17767272664885583,0.2909456711806488,0.21705054717473668,0.3798384575557892
Maps,F8,Gamma,Eyes Open,0.08792787152860851,0.5437207525425973,0.012320855979995089,0.6619113099793607,0.9323240216089289,0.9323240216089289
Maps,FC5,Delta,Eyes Open,0.031908661838075586,0.8258886985429381,0.09383395737050354,0.8258886985429381,0.5168835754583898,0.997627611925373
Maps,FC5,Theta,Eyes Open,-0.028442194662550435,0.8445558000931133,0.004549137382504374,0.9853151001086322,0.9749873880700598,0.9749873880700598
Maps,FC5,Alpha,Eyes Open,0.16664227408597532,0.24741762114932475,0.05727471958163439,0.31489515419004965,0.6927878523783197,0.6927878523783197
Maps,FC5,Low Beta,Eyes Open,0.1892267246191923,0.18813406675091873,0.14742432314062084,0.2633876934512862,0.3069338830576884,0.3906431238916034
Maps,FC5,Upper Beta,Eyes Open,0.22929303924044575,0.10920871112485529,0.24450142906977423,0.1528921955747974,0.08703724839323534,0.11016606525523234
Maps,FC5,High Beta,Eyes Open,0.13705641264645216,0.3425636731751247,0.05398681686629064,0.40325144381193073,0.7096242450564731,0.7096242450564731
Maps,FC5,Gamma,Eyes Open,0.0941812494045237,0.5153264406973743,-0.07174495620927433,0.6619113099793607,0.6205147834103499,0.7239339139787416
Maps,FC6,Delta,Eyes Open,-0.1153247673847082,0.42515499815393787,-0.2806759363712299,0.6855444210170548,0.04834009170963404,0.5987505895042788
Maps,FC6,Theta,Eyes Open,0.09434257103510522,0.5146039346127074,-0.07307780996454394,0.6549504622343548,0.6140199615984265,0.8421207564568873
Maps,FC6,Alpha,Eyes Open,0.18980659997254926,0.186759170255347,0.2164542106699276,0.2614628383574858,0.13109116733818746,0.35225109236503216
Maps,FC6,Low Beta,Eyes Open,0.1315771243343385,0.3623864910634438,0.21825224537462565,0.461219170444383,0.12784257113985079,0.25483089694657474
Maps,FC6,Upper Beta,Eyes Open,0.1790084353028967,0.21355791548899122,0.26817129140345725,0.24915090140382312,0.05970755386591523,0.09287841712475703
Maps,FC6,High Beta,Eyes Open,0.1361923878444232,0.3456440946959406,0.14847629061578838,0.40325144381193073,0.3034567165574405,0.43794060854306066
Maps,FC6,Gamma,Eyes Open,0.03715799703186458,0.7978044884925556,0.012402949968597587,0.7978044884925556,0.9318741550850657,0.9323240216089289
Maps,O1,Delta,Eyes Open,0.07421929544038042,0.6084808414678284,-0.014489117310642955,0.706620626843817,0.920449624897905,0.997627611925373
Maps,O1,Theta,Eyes Open,0.0112614529082381,0.9381312692146943,-0.10564895879784236,0.9879944907711375,0.46526598760083515,0.8421207564568873
Maps,O1,Alpha,Eyes Open,0.08519189918438831,0.5563763483390607,0.08089044931997785,0.6491057397289042,0.5765499503120839,0.6927878523783197
Maps,O1,Low Beta,Eyes Open,0.026225964861119815,0.8565354411749555,-0.12614080185046866,0.8565354411749555,0.3827262270648666,0.4121667060698563
Maps,O1,Upper Beta,Eyes Open,0.19139874756533412,0.18302114788894364,0.19260744919927403,0.23293600640411008,0.18021944744447377,0.19408248186327942
Maps,O1,High Beta,Eyes Open,0.14525963497763264,0.3141690888906243,0.1072669646249737,0.40325144381193073,0.45842016314558254,0.5235946886145304
Maps,O1,Gamma,Eyes Open,0.12611575244801848,0.3828214877978743,0.09955083298852731,0.6619113099793607,0.49155486711758234,0.6931910956096257
Maps,O2,Delta,Eyes Open,0.12297817182397584,0.3948644022824853,0.01674698989370735,0.6855444210170548,0.9081027419864711,0.997627611925373
Maps,O2,Theta,Eyes Open,0.1373212525686807,0.34162287981882444,0.05652898759591815,0.5398877093721917,0.6965940114581509,0.8421207564568873
Maps,O2,Alpha,Eyes Open,0.23804861533609592,0.09597064168193925,0.20884522282763562,0.18433875669937136,0.1455275275510911,0.35225109236503216
Maps,O2,Low Beta,Eyes Open,0.20983328862570702,0.14358902152793168,0.1516582691131595,0.24372681066578233,0.29309395347007783,0.3906431238916034
Maps,O2,Upper Beta,Eyes Open,0.3436188996804393,0.01455768754080478,0.368849611369685,0.03427163717465861,0.008392728000332608,0.029374548001164125
Maps,O2,High Beta,Eyes Open,0.23916095585940456,0.09438200319336364,0.22083156732773654,0.2202246741178485,0.12328874038473783,0.2876737275643883
Maps,O2,Gamma,Eyes Open,0.1758367410346754,0.22191595100285824,0.162090722281145,0.5178038856733359,0.26074945316683723,0.6084153907226203
Maps,P7,Delta,Eyes Open,0.1284518651779065,0.373998079471794,-4.3140726919604417e-4,0.6855444210170548,0.997627611925373,0.997627611925373
Maps,P7,Theta,Eyes Open,-0.002183220309736671,0.9879944907711375,-0.10067154771337486,0.9879944907711375,0.4866663362768293,0.8421207564568873
Maps,P7,Alpha,Eyes Open,0.06781277041341913,0.639841930356897,0.06633855894797257,0.6890605403843505,0.6471502053995871,0.6927878523783197
Maps,P7,Low Beta,Eyes Open,0.04081348690207443,0.7783938099137434,-0.05057789146422591,0.8382702568301852,0.727226435640519,0.727226435640519
Maps,P7,Upper Beta,Eyes Open,0.11162668881661945,0.4402492631938102,0.010790484036792936,0.47411459113179555,0.9407139842117955,0.9407139842117955
