material,Channel,Band,Recording,r,p,rob_r,q,rob_p,rob_q
Vocabulary,T7,Alpha,Eyes Open,0.011812126356286243,0.9351122685443032,-0.11293100203208964,0.9351122685443032,0.4348918414730828,0.8189618402442945
Vocabulary,T7,Low Beta,Eyes Open,-0.10928923563228207,0.4499413544080746,-0.13429784768015063,0.6103034304993638,0.35245811569777963,0.8833086969431748
Vocabulary,T7,Upper Beta,Eyes Open,-0.09707874825861496,0.5024276373020844,-0.22197641751660482,0.7033986922229181,0.12130724217111646,0.8509111138567782
Vocabulary,T7,High Beta,Eyes Open,-0.13242613119152966,0.35927027842155257,-0.21907444194061032,0.9905560154893804,0.12637742796615872,0.8055423945487985
Vocabulary,T7,Gamma,Eyes Open,-0.10825406059139892,0.45427075427941477,-0.2221632433733009,0.719974247624725,0.1209861878116328,0.6026669895481048
Vocabulary,T8,Delta,Eyes Open,0.005833655305768463,0.9679279768167927,-0.11264612015295095,0.9679279768167927,0.4360588626851414,0.6526760773012398
Vocabulary,T8,Theta,Eyes Open,0.021056181789311543,0.884600451894969,-0.03668633844615676,0.9526466405022743,0.8003181107515069,0.994883628799534
Vocabulary,T8,Alpha,Eyes Open,0.17911721002393893,0.21327522911535374,0.10905292914008365,0.3429634728811165,0.45092765650321076,0.8189618402442945
Vocabulary,T8,Low Beta,Eyes Open,0.1858559145719363,0.19626966291894965,0.006742381715074957,0.39438071215130704,0.9629352661255608,0.9629352661255608
Vocabulary,T8,Upper Beta,Eyes Open,0.05718550137681142,0.6932428221986804,-0.0011576097218960483,0.7643451753174662,0.9936341471290148,0.9936341471290148
Vocabulary,T8,High Beta,Eyes Open,-0.09832220098450939,0.4969433173354443,-0.0680024584448952,0.9905560154893804,0.6389040021542929,0.9187845988796023
Vocabulary,T8,Gamma,Eyes Open,-0.10288231211924849,0.4770981334115728,-0.07205451523063473,0.719974247624725,0.6190037617822236,0.6666194357654716
